job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills,job_type_skills
Data Engineer,"Junior Data Engineer Python, Linux","Ho Chi Minh City, Vietnam",via JobsGO,Full-time,FALSE,Vietnam,31/03/2023 13:12,TRUE,FALSE,Vietnam,,,,CÙng ty TNHH Officience,"['bash', 'sql', 'mysql', 'linux']","{'databases': ['mysql'], 'os': ['linux'], 'programming': ['bash', 'sql']}"
Data Scientist,Data Scientist (40000031),Vietnam,via Vn.linkedin.com,Full-time,FALSE,Vietnam,25/01/2023 14:03,FALSE,FALSE,Vietnam,,,,Techcombank (TCB),"['c', 'c++', 'r', 'python', 'scala', 'sql', 'java', 'tableau']","{'analyst_tools': ['tableau'], 'programming': ['c', 'c++', 'r', 'python', 'scala', 'sql', 'java']}"
Data Scientist,Data Science (Th?c t?p sinh),"Da Nang, Vietnam (+2 others)",via JOBSGO,Full-time,FALSE,Vietnam,11/01/2023 13:26,FALSE,FALSE,Vietnam,,,,CÙng Ty Cï Ph?n ??u T? Finpros,,
Data Engineer,Research Engineer (Full Data Science),"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,09/01/2023 13:31,FALSE,FALSE,Vietnam,,,,Trusting Social Career Page,"['python', 'tensorflow', 'pytorch', 'opencv']","{'libraries': ['tensorflow', 'pytorch', 'opencv'], 'programming': ['python']}"
Data Analyst,Junior Intelligence Analyst,Anywhere,via LinkedIn Vietnam,Full-time,TRUE,Vietnam,21/03/2023 13:39,TRUE,FALSE,Vietnam,,,,ActiveFence,['sheets'],{'analyst_tools': ['sheets']}
Data Engineer,Data Engineer,"Bien Hoa, Dong Nai, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,03/02/2023 13:47,FALSE,FALSE,Vietnam,,,,Schaeffler,"['sql', 'python', 'java', 'azure']","{'cloud': ['azure'], 'programming': ['sql', 'python', 'java']}"
Data Scientist,Data Scientist [Asilla Vietnam],"Hanoi, Ho√†n Ki·∫øm, Hanoi, Vietnam",via Glints,Full-time,FALSE,Vietnam,07/03/2023 13:50,FALSE,FALSE,Vietnam,,,,Digisource,"['python', 'pytorch', 'tensorflow']","{'libraries': ['pytorch', 'tensorflow'], 'programming': ['python']}"
Data Analyst,[SO] Senior Data Analyst,Vietnam,via AI Careers,Full-time,FALSE,Vietnam,30/05/2023 13:16,TRUE,FALSE,Vietnam,,,,Bosch Group,,
Data Analyst,Junior Data Analyst,Anywhere,via LinkedIn Vietnam,Full-time,TRUE,Vietnam,18/07/2023 13:46,TRUE,FALSE,Vietnam,,,,Enveritas,"['python', 'excel']","{'analyst_tools': ['excel'], 'programming': ['python']}"
Data Scientist,"Data Scientist Data Analyst, Python, Cloud","Ho Chi Minh City, Vietnam",via Indeed,Full-time,FALSE,Vietnam,15/11/2023 13:32,FALSE,FALSE,Vietnam,,,,Schaeffler Viát Nam,"['python', 'aws', 'azure', 'linux', 'windows']","{'cloud': ['aws', 'azure'], 'os': ['linux', 'windows'], 'programming': ['python']}"
Data Engineer,Data Engineer,Anywhere,via LinkedIn Vietnam,Full-time,TRUE,Vietnam,01/09/2023 13:43,TRUE,FALSE,Vietnam,,,,Go1,"['sql', 'python', 'scala', 'azure', 'databricks', 'spark', 'pyspark']","{'cloud': ['azure', 'databricks'], 'libraries': ['spark', 'pyspark'], 'programming': ['sql', 'python', 'scala']}"
Data Scientist,Lead Data Scientist (NLP),"Ho Chi Minh City, Vietnam",via LinkedIn,Full-time,FALSE,Vietnam,26/10/2023 13:27,FALSE,FALSE,Vietnam,,,,Cartrack,"['python', 'nltk', 'hugging face', 'pytorch']","{'libraries': ['nltk', 'hugging face', 'pytorch'], 'programming': ['python']}"
Data Engineer,Tr?üng NhÛm L?p TrÏnh (Data Engineer Leader),"Hanoi, Vietnam",via Indeed,Full-time,FALSE,Vietnam,25/08/2023 13:24,FALSE,FALSE,Vietnam,,,,CÙng ty Cï ph?n Gi?i ph·p Ph?n m?m T‡i chÌnh,['aws'],{'cloud': ['aws']}
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,10/07/2023 13:39,TRUE,FALSE,Vietnam,,,,AS White Global,"['python', 'sql', 'powershell', 'azure', 'databricks', 'pyspark', 'ssis', 'ssrs', 'unity']","{'analyst_tools': ['ssis', 'ssrs'], 'cloud': ['azure', 'databricks'], 'libraries': ['pyspark'], 'other': ['unity'], 'programming': ['python', 'sql', 'powershell']}"
Data Scientist,Data Researcher,"Ho Chi Minh City, Vietnam",via JobsGO,Full-time,FALSE,Vietnam,14/03/2023 13:28,TRUE,FALSE,Vietnam,,,,CÙng ty TNHH Officience,"['word', 'excel', 'spreadsheet']","{'analyst_tools': ['word', 'excel', 'spreadsheet']}"
Data Scientist,Online Search Analyst in Vietnam,Anywhere,via LinkedIn,Part-time and Contractor,TRUE,Vietnam,16/10/2023 13:42,TRUE,FALSE,Vietnam,,,,TELUS International AI Data Solutions,,
Data Engineer,ChuyÍn ViÍn Data Engineer,Vietnam,via Indeed,Full-time,FALSE,Vietnam,04/12/2023 13:31,FALSE,FALSE,Vietnam,,,,CÙng Ty Cï Ph?n ViÖn ThÙng Asim,"['sql', 'nosql', 'mongodb', 'mongodb', 'python', 'r', 'aws', 'azure', 'databricks']","{'cloud': ['aws', 'azure', 'databricks'], 'databases': ['mongodb'], 'programming': ['sql', 'nosql', 'mongodb', 'python', 'r']}"
Data Engineer,Data Infrastructure Builder,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,01/11/2023 06:29,FALSE,FALSE,Vietnam,,,,GALAXY HOLDINGS,"['aws', 'redshift', 'flow']","{'cloud': ['aws', 'redshift'], 'other': ['flow']}"
Data Engineer,HCMC_Lead Data Engineer (Any Cloud)_Very open to negotiate,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,17/08/2023 06:14,FALSE,FALSE,Vietnam,,,,HCLTech Vietnam,"['sql', 'python', 'gcp']","{'cloud': ['gcp'], 'programming': ['sql', 'python']}"
Data Analyst,Business Intelligence Engineer,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,10/07/2023 06:39,TRUE,FALSE,Vietnam,,,,The Access Group,"['sql', 'python', 'javascript', 'css', 'html', 'airflow', 'tableau', 'power bi', 'git']","{'analyst_tools': ['tableau', 'power bi'], 'libraries': ['airflow'], 'other': ['git'], 'programming': ['sql', 'python', 'javascript', 'css', 'html']}"
Data Scientist,Data Scientist,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,01/11/2023 06:29,FALSE,FALSE,Vietnam,,,,GALAXY HOLDINGS,"['python', 'sql', 'r', 'aws', 'gcp', 'spark', 'hadoop', 'flow']","{'cloud': ['aws', 'gcp'], 'libraries': ['spark', 'hadoop'], 'other': ['flow'], 'programming': ['python', 'sql', 'r']}"
Data Scientist,Data Scientist,"Ho Chi Minh City, Vietnam",via BeBee,Full-time,FALSE,Vietnam,09/11/2023 07:26,FALSE,FALSE,Vietnam,,,,Zalo,"['go', 'hadoop', 'spark', 'pytorch', 'tensorflow']","{'libraries': ['hadoop', 'spark', 'pytorch', 'tensorflow'], 'programming': ['go']}"
Data Analyst,ChuyÍn gia Khoa h?c D? liáu - MSB DF - DXA - 1M412,"Hanoi, Vietnam",via CareerBuilder,Full-time,FALSE,Vietnam,16/11/2023 06:29,TRUE,FALSE,Vietnam,,,,Ng‚n h‡ng Th??ng m?i Cï ph?n H‡ng H?i Viát Nam (MSB),,
Data Scientist,Data Scientist,"Hanoi, Ho√†n Ki·∫øm, Hanoi, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,19/06/2023 06:33,FALSE,FALSE,Vietnam,,,,Confidential,"['python', 'pytorch', 'tensorflow']","{'libraries': ['pytorch', 'tensorflow'], 'programming': ['python']}"
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via LinkedIn,Full-time,FALSE,Vietnam,04/12/2023 06:31,TRUE,FALSE,Vietnam,,,,FPT Software,"['java', 'python', 'sql', 'oracle', 'snowflake', 'airflow', 'spark', 'kafka', 'hadoop']","{'cloud': ['oracle', 'snowflake'], 'libraries': ['airflow', 'spark', 'kafka', 'hadoop'], 'programming': ['java', 'python', 'sql']}"
Data Analyst,"Data Analytics Manager Data Analytics, Centre of","Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,08/11/2023 06:51,FALSE,FALSE,Vietnam,,,,CÙng ty TNHH Onpoint,"['sql', 'nosql', 'python', 'r', 'bigquery', 'spark', 'power bi', 'qlik', 'tableau']","{'analyst_tools': ['power bi', 'qlik', 'tableau'], 'cloud': ['bigquery'], 'libraries': ['spark'], 'programming': ['sql', 'nosql', 'python', 'r']}"
Data Analyst,Data Analyst,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,30/11/2023 06:30,FALSE,FALSE,Vietnam,,,,Artefact.com,"['sql', 'python', 'r', 'azure', 'aws', 'airflow', 'tableau']","{'analyst_tools': ['tableau'], 'cloud': ['azure', 'aws'], 'libraries': ['airflow'], 'programming': ['sql', 'python', 'r']}"
Data Engineer,Data Engineer Hot,"Hanoi, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,08/11/2023 06:51,TRUE,FALSE,Vietnam,,,,Sapo.vn,"['python', 'hadoop', 'kafka', 'spark']","{'libraries': ['hadoop', 'kafka', 'spark'], 'programming': ['python']}"
Data Scientist,CV/CVCC MÙ HÏnh (Data scientist),"Hanoi, Ho√†n Ki·∫øm, Hanoi, Vietnam",via Vi·ªác L√†m,Full-time,FALSE,Vietnam,07/03/2023 06:50,FALSE,FALSE,Vietnam,,,,CÙng Ty T‡i ChÌnh TNHH MB SHINSEI (MCREDIT),,
Data Engineer,Data Engineer,"Hanoi, Vietnam",via BeBee,Full-time,FALSE,Vietnam,30/10/2023 06:22,FALSE,FALSE,Vietnam,,,,Ch?ng kho·n VNDIRECT,"['sql', 'nosql', 'sql server', 'mysql', 'elasticsearch', 'cassandra', 'aws', 'oracle', 'hadoop', 'spark', 'airflow', 'kafka']","{'cloud': ['aws', 'oracle'], 'databases': ['sql server', 'mysql', 'elasticsearch', 'cassandra'], 'libraries': ['hadoop', 'spark', 'airflow', 'kafka'], 'programming': ['sql', 'nosql']}"
Data Analyst,Data Analyst,"Hanoi, Ho√†n Ki·∫øm, Hanoi, Vietnam",via CareerBuilder,Full-time,FALSE,Vietnam,07/02/2023 06:24,TRUE,FALSE,Vietnam,,,,CÙng ty CP CÙng nghá gi·o d?c Tr??ng h?c tr?c tuy?n (ONSCHOOL),,
Data Engineer,Cloud Data Engineer,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,16/11/2023 06:29,FALSE,FALSE,Vietnam,,,,METRO.digital,"['sql', 'python', 'golang', 'elasticsearch', 'snowflake', 'gcp', 'aws', 'databricks', 'bigquery', 'fastapi', 'looker', 'kubernetes', 'docker', 'github']","{'analyst_tools': ['looker'], 'cloud': ['snowflake', 'gcp', 'aws', 'databricks', 'bigquery'], 'databases': ['elasticsearch'], 'other': ['kubernetes', 'docker', 'github'], 'programming': ['sql', 'python', 'golang'], 'webframeworks': ['fastapi']}"
Data Scientist,Lead Data Scientist. Advanced Analytics,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,09/11/2023 07:26,FALSE,FALSE,Vietnam,,,,Manulife,,
Data Analyst,Digital Marketing Data Analyst (GG & FB),Vietnam,via LinkedIn,Full-time,FALSE,Vietnam,03/10/2023 06:12,FALSE,FALSE,Vietnam,,,,Getz Group,,
Data Scientist,Data Collection Technican,"Hanoi, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,08/11/2023 06:51,FALSE,FALSE,Vietnam,,,,CÙng ty TNHH Earable Viát Nam,"['python', 'sql']","{'programming': ['python', 'sql']}"
Data Scientist,Data Science,"Hanoi, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,16/11/2023 06:29,FALSE,FALSE,Vietnam,,,,CÙng Ty Cï Ph?n ??u T? Finpros,,
Data Engineer,ChuyÍn ViÍn Data Engineer,"Hanoi, Vietnam",via BeBee,Full-time,FALSE,Vietnam,28/10/2023 06:25,TRUE,FALSE,Vietnam,,,,CîNG TY TNHH GI?I PH¡P PHÇN TÕCH D? LIÜU INSIGHT DATA,"['sql', 'c', 'oracle', 'airflow', 'spark', 'ssis']","{'analyst_tools': ['ssis'], 'cloud': ['oracle'], 'libraries': ['airflow', 'spark'], 'programming': ['sql', 'c']}"
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,01/11/2023 06:29,FALSE,FALSE,Vietnam,,,,GALAXY HOLDINGS,"['python', 'c++', 'java', 'scala', 'r', 'sql', 'aws', 'azure', 'hadoop']","{'cloud': ['aws', 'azure'], 'libraries': ['hadoop'], 'programming': ['python', 'c++', 'java', 'scala', 'r', 'sql']}"
Data Scientist,Data Scientist,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,08/11/2023 06:51,FALSE,FALSE,Vietnam,,,,Gofingo Vietnam,"['python', 'r', 'sql', 'mysql']","{'databases': ['mysql'], 'programming': ['python', 'r', 'sql']}"
Data Engineer,Data Engineer Manager,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,22/08/2023 06:22,FALSE,FALSE,Vietnam,,,,Generali Vietnam Life Insurance,"['python', 'sql', 'hadoop', 'spark', 'spss']","{'analyst_tools': ['spss'], 'libraries': ['hadoop', 'spark'], 'programming': ['python', 'sql']}"
Data Analyst,Data Architect,"Ho Chi Minh City, Vietnam",via BeBee,Full-time,FALSE,Vietnam,31/10/2023 06:45,FALSE,FALSE,Vietnam,,,,CÙng Ty TNHH Bosch Global Software Technologies,"['hadoop', 'flow']","{'libraries': ['hadoop'], 'other': ['flow']}"
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,05/06/2023 06:35,TRUE,FALSE,Vietnam,,,,VieON,"['go', 'python', 'java', 'scala', 'sql', 'nosql', 'mongodb', 'mongodb', 'mysql', 'cassandra', 'spark', 'kafka', 'hadoop', 'airflow', 'linux']","{'databases': ['mongodb', 'mysql', 'cassandra'], 'libraries': ['spark', 'kafka', 'hadoop', 'airflow'], 'os': ['linux'], 'programming': ['go', 'python', 'java', 'scala', 'sql', 'nosql', 'mongodb']}"
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,14/06/2023 06:17,FALSE,FALSE,Vietnam,,,,Gene Solutions,"['r', 'python', 'bash']","{'programming': ['r', 'python', 'bash']}"
Data Scientist,Applied Data Scientist,"Ho Chi Minh City, Vietnam",via Glints,Full-time,FALSE,Vietnam,10/03/2023 06:33,FALSE,FALSE,Vietnam,month,,,Digisource,"['python', 'spark', 'pyspark']","{'libraries': ['spark', 'pyspark'], 'programming': ['python']}"
Data Analyst,Data Analyst,"Hanoi, Ho√†n Ki·∫øm, Hanoi, Vietnam",via Glints,Full-time,FALSE,Vietnam,14/06/2023 06:17,TRUE,FALSE,Vietnam,,,,Monkey Viát Nam,"['sql', 'python', 'power bi', 'dax', 'tableau']","{'analyst_tools': ['power bi', 'dax', 'tableau'], 'programming': ['sql', 'python']}"
Data Engineer,Cloud Data Engineer,Vietnam,via LinkedIn Vietnam,Full-time,FALSE,Vietnam,24/02/2023 06:45,FALSE,FALSE,Vietnam,,,,Renova Cloud,"['sql', 'python', 'scala', 'java', 'aws', 'azure', 'snowflake', 'kafka', 'airflow', 'hadoop', 'spark']","{'cloud': ['aws', 'azure', 'snowflake'], 'libraries': ['kafka', 'airflow', 'hadoop', 'spark'], 'programming': ['sql', 'python', 'scala', 'java']}"
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,31/03/2023 06:12,TRUE,FALSE,Vietnam,,,,Orient Software Development Corp.,"['sql', 'python', 'scala', 'java', 'postgresql', 'snowflake', 'aws', 'azure', 'hadoop', 'spark', 'kafka', 'airflow']","{'cloud': ['snowflake', 'aws', 'azure'], 'databases': ['postgresql'], 'libraries': ['hadoop', 'spark', 'kafka', 'airflow'], 'programming': ['sql', 'python', 'scala', 'java']}"
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,03/11/2023 06:24,FALSE,FALSE,Vietnam,,,,CÙng ty TNHH Officience,"['bash', 'sql', 'mysql', 'linux']","{'databases': ['mysql'], 'os': ['linux'], 'programming': ['bash', 'sql']}"
Data Engineer,(HCMC) GCP Cloud Data Engineer Äì Upto 1 Billion/Year,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,19/07/2023 06:24,FALSE,FALSE,Vietnam,,,,HCLTech Vietnam,"['python', 'java', 'sql', 'nosql', 'gcp', 'airflow', 'flow', 'terraform']","{'cloud': ['gcp'], 'libraries': ['airflow'], 'other': ['flow', 'terraform'], 'programming': ['python', 'java', 'sql', 'nosql']}"
Data Scientist,"Mgr, Data Science","Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,30/11/2023 06:30,FALSE,FALSE,Vietnam,,,,NielsenIQ,"['r', 'python', 'excel', 'tableau']","{'analyst_tools': ['excel', 'tableau'], 'programming': ['r', 'python']}"
Data Scientist,Data Scientist,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,09/11/2023 07:26,FALSE,FALSE,Vietnam,,,,Tyme,"['python', 'sql', 'r', 'sas', 'sas']","{'analyst_tools': ['sas'], 'programming': ['python', 'sql', 'r', 'sas']}"
Data Engineer,Data Engineer SAP Analytics,"Hanoi, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,03/11/2023 06:24,FALSE,FALSE,Vietnam,,,,CÙng Ty TNHH Bosch Global Software Technologies,"['sql', 'python', 'sap', 'power bi']","{'analyst_tools': ['sap', 'power bi'], 'programming': ['sql', 'python']}"
Data Scientist,Data Scientist,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,16/11/2023 06:29,FALSE,FALSE,Vietnam,,,,GreenFeed,['python'],{'programming': ['python']}
Data Engineer,"Junior Data Engineer, Visily","Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,08/11/2023 06:51,TRUE,FALSE,Vietnam,,,,KMS Technology,"['sql', 'nosql', 'python', 'r', 'aws', 'azure', 'react', 'node.js', 'excel']","{'analyst_tools': ['excel'], 'cloud': ['aws', 'azure'], 'libraries': ['react'], 'programming': ['sql', 'nosql', 'python', 'r'], 'webframeworks': ['node.js']}"
Data Engineer,Big Data Engineer,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,09/11/2023 07:26,TRUE,FALSE,Vietnam,,,,HCL Vietnam Company Limited,"['python', 'java', 'sql', 'nosql', 'hadoop', 'spring', 'spark', 'yarn', 'kubernetes', 'docker']","{'libraries': ['hadoop', 'spring', 'spark'], 'other': ['yarn', 'kubernetes', 'docker'], 'programming': ['python', 'java', 'sql', 'nosql']}"
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,03/11/2023 06:24,TRUE,FALSE,Vietnam,,,,Yes4All,"['sql', 'aws']","{'cloud': ['aws'], 'programming': ['sql']}"
Data Scientist,Head of Enterprise Data,"Hanoi, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,03/11/2023 06:24,FALSE,FALSE,Vietnam,,,,CÙng Ty Cï Ph?n Ch?ng Kho·n SSI,,
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,17/06/2023 06:29,FALSE,FALSE,Vietnam,,,,Hconnect,"['python', 'java', 'scala', 'sql', 'nosql', 'aws', 'gcp', 'tensorflow', 'pytorch', 'scikit-learn', 'kafka', 'spark']","{'cloud': ['aws', 'gcp'], 'libraries': ['tensorflow', 'pytorch', 'scikit-learn', 'kafka', 'spark'], 'programming': ['python', 'java', 'scala', 'sql', 'nosql']}"
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,03/11/2023 06:24,TRUE,FALSE,Vietnam,,,,Hitachi Vantara,"['python', 'c#', 'java', 'sql']","{'programming': ['python', 'c#', 'java', 'sql']}"
Data Analyst,Data Analysis Collaborator,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,08/11/2023 06:52,TRUE,FALSE,Vietnam,,,,Zalo,,
Data Engineer,Backend Engineer/ Data Engineer,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,01/11/2023 06:29,FALSE,FALSE,Vietnam,,,,GFT Technologies SE,"['python', 'sql', 'oracle', 'kafka', 'airflow', 'spark', 'hadoop', 'jenkins']","{'cloud': ['oracle'], 'libraries': ['kafka', 'airflow', 'spark', 'hadoop'], 'other': ['jenkins'], 'programming': ['python', 'sql']}"
Data Engineer,"Data & Analytics Lab, Ai Intern","Hanoi, Vietnam",via Trabajo.org,Full-time and Internship,FALSE,Vietnam,01/11/2023 06:29,FALSE,FALSE,Vietnam,,,,VNG,"['python', 'scikit-learn', 'tensorflow', 'keras', 'pytorch']","{'libraries': ['scikit-learn', 'tensorflow', 'keras', 'pytorch'], 'programming': ['python']}"
Data Analyst,Data Analyst Intern,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time and Internship,FALSE,Vietnam,03/11/2023 06:24,FALSE,FALSE,Vietnam,,,,OPSWAT,['excel'],{'analyst_tools': ['excel']}
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time and Per diem,FALSE,Vietnam,24/11/2023 06:30,FALSE,FALSE,Vietnam,,,,PNJ,"['sql', 'nosql', 'oracle', 'azure', 'power bi', 'sap']","{'analyst_tools': ['power bi', 'sap'], 'cloud': ['oracle', 'azure'], 'programming': ['sql', 'nosql']}"
Data Scientist,Data Labeling Expert,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,01/11/2023 06:29,FALSE,FALSE,Vietnam,,,,CODE LEAP,,
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,02/02/2023 06:44,FALSE,FALSE,Vietnam,,,,HMD IT JSC,"['python', 'java', 'scala', 'sql', 'nosql', 'gcp', 'aws', 'airflow', 'spark', 'django', 'flask', 'fastapi', 'linux', 'docker']","{'cloud': ['gcp', 'aws'], 'libraries': ['airflow', 'spark'], 'os': ['linux'], 'other': ['docker'], 'programming': ['python', 'java', 'scala', 'sql', 'nosql'], 'webframeworks': ['django', 'flask', 'fastapi']}"
Data Analyst,Data Analyst Investee Company,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,30/11/2023 06:30,FALSE,FALSE,Vietnam,,,,Mekong Capital,"['sql', 'python', 'git']","{'other': ['git'], 'programming': ['sql', 'python']}"
